          ,close ,high   ,low    ,p_change,open  ,pre_close,volume  ,date    ,date_week,atr21             ,atr14             ,key
2017-06-12,80.17 ,80.73  ,79.95  ,-0.174  ,80.35 ,80.31    ,3352279 ,20170612,0        ,0.7800000000000011,0.7800000000000011,0
2017-06-13,80.59 ,80.74  ,80.07  ,0.524   ,80.2  ,80.17    ,3174361 ,20170613,1        ,0.7223809523809538,0.72107142857143  ,1
2017-06-14,80.84 ,80.92  ,79.62  ,0.31    ,80.11 ,80.59    ,4013089 ,20170614,2        ,0.9335347432024167,0.9422241086587434,2
2017-06-15,80.7  ,81.24  ,80.23  ,-0.173  ,80.38 ,80.84    ,2773369 ,20170615,3        ,0.955464339581984 ,0.9629586656997794,3
2017-06-16,81.45 ,81.48  ,80.77  ,0.929   ,80.86 ,80.7     ,5914676 ,20170616,4        ,0.8965980901213737,0.8969621368679813,4
2017-06-19,81.88 ,81.94  ,81.29  ,0.528   ,81.56 ,81.45    ,3076499 ,20170619,0        ,0.9682777382475224,0.9763349825772035,5
2017-06-20,82.51 ,82.81  ,81.8   ,0.769   ,81.98 ,81.88    ,3929088 ,20170620,1        ,1.0414249263558062,1.0571813364019296,6
2017-06-21,82.21 ,82.8   ,81.99  ,-0.364  ,82.6  ,82.51    ,2683412 ,20170621,2        ,1.0207336754195717,1.0303506870198818,7
2017-06-22,82.28 ,82.62  ,82.08  ,0.085   ,82.08 ,82.21    ,2311970 ,20170622,3        ,0.9448474440095319,0.9400657271734467,8
2017-06-23,82.22 ,82.7   ,82.06  ,-0.073  ,82.39 ,82.28    ,3785322 ,20170623,4        ,0.899745155232936 ,0.8874871147695823,9
2017-06-26,82.96 ,83.285 ,82.44  ,0.9     ,82.499,82.22    ,2491613 ,20170626,0        ,0.91447730669989  ,0.9072502668872899,10
2017-06-27,83.08 ,83.52  ,83.01  ,0.145   ,83.06 ,82.96    ,2994829 ,20170627,1        ,0.9659142053499927,0.9710782624986211,11
2017-06-28,83.97 ,84.265 ,83.4   ,1.071   ,83.51 ,83.08    ,3667871 ,20170628,2        ,1.0093105668057105,1.0238070354592907,12
2017-06-29,83.63 ,85.39  ,83.156 ,-0.405  ,84.92 ,83.97    ,5092624 ,20170629,3        ,1.1698230014894566,1.222035340941398 ,13
2017-06-30,84.24 ,84.64  ,83.59  ,0.729   ,84.09 ,83.63    ,3320821 ,20170630,4        ,1.1555015627950924,1.1960611432725976,14
2017-07-03,85.1  ,85.73  ,84.69  ,1.021   ,84.69 ,84.24    ,2306874 ,20170703,0        ,1.2652493796160487,1.3301725632560304,15
2017-07-05,84.89 ,85.88  ,84.81  ,-0.247  ,85.22 ,85.1     ,3501204 ,20170705,2        ,1.3077202538917445,1.3754589512590774,16
2017-07-06,83.74 ,84.84  ,83.72  ,-1.355  ,84.67 ,84.89    ,3213448 ,20170706,3        ,1.3157321498055163,1.3761142903337604,17
2017-07-07,84.33 ,84.685 ,83.77  ,0.705   ,83.93 ,83.74    ,2454587 ,20170707,4        ,1.2944601811490766,1.3395547559423544,18
2017-07-10,84.3  ,84.57  ,83.97  ,-0.036  ,84.13 ,84.33    ,2147747 ,20170710,0        ,1.2448644369676574,1.267495703950278 ,19
2017-07-11,84.16 ,84.305 ,83.54  ,-0.166  ,84.23 ,84.3     ,2733163 ,20170711,1        ,1.1970522342677425,1.2005116963918978,20
2017-07-12,84.82 ,84.98  ,84.055 ,0.784   ,84.28 ,84.16    ,4629141 ,20170712,2        ,1.1688564778190944,1.162129094743073 ,21
2017-07-13,85.37 ,85.43  ,84.74  ,0.648   ,84.93 ,84.82    ,3309411 ,20170713,3        ,1.1792073047558471,1.1770676676670517,22
2017-07-14,85.28 ,85.56  ,84.59  ,-0.105  ,84.85 ,85.37    ,3354705 ,20170714,4        ,1.1580393718192505,1.1485387562851808,23
2017-07-17,85.22 ,85.52  ,84.78  ,-0.07   ,85.13 ,85.28    ,2190465 ,20170717,0        ,1.1161715611893825,1.0925009521039157,24
2017-07-18,85.52 ,85.56  ,84.76  ,0.352   ,84.96 ,85.22    ,2815983 ,20170718,1        ,1.0847961215148916,1.052532841458347 ,25
2017-07-19,85.93 ,85.98  ,85.3   ,0.479   ,85.76 ,85.52    ,5535470 ,20170719,2        ,1.0528309739370263,1.0126922193396661,26
